game_id,date,white,black,white_elo,black_elo,time_control,termination,result,half_move,move,move_uci,fen_before,fen_after,clock,clock_delta
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,1,e4,e2e4,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,300,-0.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,2,d6,d7d6,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,300,-0.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,3,d4,d2d4,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,298,2.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,4,Nf6,g8f6,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,299,1.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,5,Nc3,b1c3,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,297,1.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,6,g6,g7g6,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,298,1.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,7,Bg5,c1g5,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,rnbqkb1r/ppp1pp1p/3p1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 1 4,296,1.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,8,Bg7,f8g7,rnbqkb1r/ppp1pp1p/3p1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 1 4,rnbqk2r/ppp1ppbp/3p1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 2 5,297,1.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,9,Nf3,g1f3,rnbqk2r/ppp1ppbp/3p1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 2 5,rnbqk2r/ppp1ppbp/3p1np1/6B1/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq - 3 5,293,3.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,10,Nc6,b8c6,rnbqk2r/ppp1ppbp/3p1np1/6B1/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq - 3 5,r1bqk2r/ppp1ppbp/2np1np1/6B1/3PP3/2N2N2/PPP2PPP/R2QKB1R w KQkq - 4 6,295,2.0
03HdvBe4,2025-03-01,LucyferSam,olttt,1395,1489,300+0,Normal,1-0,11,Qd2,d1d2,r1bqk2r/ppp1ppbp/2np1np1/6B1/3PP3/2N2N2/PPP2PPP/R2QKB1R w KQkq - 4 6,r1bqk2r/ppp1ppbp/2np1np1/6B1/3PP3/2N2N2/PPPQ1PPP/R3KB1R b KQkq - 5 6,291,2.0
