player,game_id,rating_bin,split_by_player,split_by_games,player_color,player_elo,opponent_elo,time_control,half_move,move,move_uci,fen_before,fen_after,clock,clock_delta,is_used,move_thinking_time,move_maia1_1100,fen_maia1_1100,move_maia1_1200,fen_maia1_1200,move_maia1_1300,fen_maia1_1300,move_maia1_1400,fen_maia1_1400,move_maia1_1500,fen_maia1_1500,move_maia1_1600,fen_maia1_1600,move_maia1_1700,fen_maia1_1700,move_maia1_1800,fen_maia1_1800,move_maia1_1900,fen_maia1_1900
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,1,e4,e2e4,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,300,-0.0,False,0.0,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,2,Nc6,b8c6,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,300,-0.0,False,0.0,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d7d6,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d7d5,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,3,Nf3,g1f3,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,299,1.0,False,1.0,g1f3,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,g1f3,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,g1f3,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,g1f3,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,d2d4,r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d2d4,r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d2d4,r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d2d4,r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d2d4,r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,4,Nf6,g8f6,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,r1bqkb1r/pppppppp/2n2n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 3 3,299,1.0,False,1.0,e7e5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e7e5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e7e5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e7e5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e7e5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e7e5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e7e5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e7e5,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d7d6,r1bqkbnr/ppp1pppp/2np4/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,5,Bd3,f1d3,r1bqkb1r/pppppppp/2n2n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 3 3,r1bqkb1r/pppppppp/2n2n2/8/4P3/3B1N2/PPPP1PPP/RNBQK2R b KQkq - 4 3,295,4.0,False,4.0,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3,b1c3,r1bqkb1r/pppppppp/2n2n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 4 3
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,6,e5,e7e5,r1bqkb1r/pppppppp/2n2n2/8/4P3/3B1N2/PPPP1PPP/RNBQK2R b KQkq - 4 3,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,297,2.0,False,2.0,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e7e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,7,O-O,e1g1,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,293,2.0,False,2.0,e1g1,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,e1g1,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,e1g1,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,e1g1,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,e1g1,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,e1g1,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,e1g1,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,e1g1,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,c2c3,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2PB1N2/PP1P1PPP/RNBQK2R b KQkq - 0 4
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,8,d5,d7d5,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,295,2.0,False,2.0,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,f8c5,r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,9,exd5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,291,2.0,False,2.0,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,e4d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5
Abdoadel_99,YI6Q9haj,1100_1200,train,train,white,1165,1101,300+0,10,Nxd5,f6d5,r1bqkb1r/ppp2ppp/2n2n2/3Pp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 b kq - 0 5,r1bqkb1r/ppp2ppp/2n5/3np3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,294,1.0,False,1.0,d8d5,r1b1kb1r/ppp2ppp/2n2n2/3qp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,f6d5,r1bqkb1r/ppp2ppp/2n5/3np3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,f6d5,r1bqkb1r/ppp2ppp/2n5/3np3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,f6d5,r1bqkb1r/ppp2ppp/2n5/3np3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,d8d5,r1b1kb1r/ppp2ppp/2n2n2/3qp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,f6d5,r1bqkb1r/ppp2ppp/2n5/3np3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,f6d5,r1bqkb1r/ppp2ppp/2n5/3np3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,d8d5,r1b1kb1r/ppp2ppp/2n2n2/3qp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6,d8d5,r1b1kb1r/ppp2ppp/2n2n2/3qp3/8/3B1N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6
